id,name
552,device_hub
553,tv
554,tablet
555,adb
556,donut_large
557,screen_lock_rotation
558,featured_video
559,text_rotate_vertical
560,perm_camera_mic
561,textsms
562,train
563,account_box
564,phone_enabled
565,house
566,format_strikethrough
567,settings_applications
568,cloud_upload
569,comment
570,wifi_tethering
571,smartphone
572,highlight
573,content_cut
574,format_indent_increase
575,four_k
576,personal_video
577,vertical_align_bottom
578,laptop_chromebook
579,navigation
580,no_encryption
581,local_taxi
582,airline_seat_legroom_normal
583,highlight_off
584,import_export
585,block
586,reply
587,timer
588,sd_storage
589,short_text
590,power_settings_new
591,desktop_access_disabled
592,fingerprint
593,museum
594,wrap_text
595,policy
596,visibility_off
597,keyboard_return
598,looks_5
599,shop_two
600,accessibility
601,phone_missed
602,alarm_off
603,history
604,beach_access
605,check_circle_outline
606,attach_file
607,signal_cellular_null
608,casino
609,feedback
610,movie
611,border_top
612,people_outline
613,restore_page
614,touch_app
615,receipt
616,sports_kabaddi
617,chevron_left
618,alarm
619,report_problem
620,loupe
621,closed_caption
622,offline_bolt
623,computer
624,mic
625,sports
626,move_to_inbox
627,emoji_nature
628,mobile_friendly
629,folder_shared
630,emoji_flags
631,trending_up
632,video_label
633,add_box
634,navigate_before
635,input
636,gif
637,pin
638,graphic_eq
639,style
640,smoking_rooms
641,gps_not_fixed
642,pan_tool
643,camera_front
644,high_quality
645,subway
646,edit
647,star_border
648,image_search
649,business_center
650,format_color_fill
651,forward_5
652,insert_photo
653,directions_bike
654,publish
655,vibration
656,arrow_drop_down
657,stay_current_landscape
658,control_point
659,border_bottom
660,payment
661,visibility
662,toll
663,settings_ethernet
664,replay_10
665,not_listed_location
666,update
667,menu_open
668,arrow_upward
669,find_in_page
670,remove_shopping_cart
671,assignment_return
672,settings_voice
673,crop_7_5
674,alternate_email
675,leak_add
676,flip
677,gps_fixed
678,square_foot
679,tablet_mac
680,supervisor_account
681,sim_card_alert
682,camera_enhance
683,business
684,android
685,my_location
686,assignment_returned
687,keyboard_voice
688,sports_mma
689,collections
690,polymer
691,child_care
692,line_weight
693,import_contacts
694,call_received
695,call_merge
696,hourglass_full
697,terrain
698,people
699,format_size
700,favorite
701,open_in_new
702,repeat_one
703,speed
704,text_rotate_up
705,chat
706,delete_outline
707,pause
708,view_list
709,filter_drama
710,format_list_numbered_rtl
711,arrow_forward
712,rounded_corner
713,queue_play_next
714,new_releases
715,photo_filter
716,videogame_asset
717,label_off
718,translate
719,toc
720,contact_mail
721,notes
722,mms
723,person_add_disabled
724,local_pharmacy
725,forward
726,looks_3
727,vertical_split
728,airline_seat_legroom_extra
729,wc
730,bookmarks
731,directions_railway
732,cake
733,invert_colors_off
734,wb_iridescent
735,brush
736,straighten
737,report
738,done
739,mobile_screen_share
740,create_new_folder
741,settings_remote
742,exposure_plus_1
743,favorite_border
744,flag
745,album
746,playlist_add
747,explicit
748,network_wifi
749,compare_arrows
750,wb_incandescent
751,rotate_left
752,rocket
753,lock
754,burst_mode
755,queue_music
756,surround_sound
757,golf_course
758,phonelink
759,format_line_spacing
760,widgets
761,phone_bluetooth_speaker
762,line_style
763,stop_circle
764,battery_alert
765,meeting_room
766,looks_one
767,volume_up
768,folder_special
769,local_phone
770,cloud_off
771,local_movies
772,format_quote
773,plus_one
774,laptop
775,fiber_smart_record
776,language
777,present_to_all
778,sports_soccer
779,local_airport
780,label
781,check_box_outline_blank
782,developer_mode
783,phone_locked
784,category
785,brightness_7
786,attach_money
787,shutter_speed
788,mail
789,event_busy
790,keyboard_arrow_down
791,details
792,http
793,assignment_ind
794,play_arrow
795,dialer_sip
796,cloud_queue
797,all_out
798,phonelink_erase
799,compass_calibration
800,center_focus_strong
801,gps_off
802,compare
803,notifications_active
804,message
805,settings_power
806,control_point_duplicate
807,vertical_align_top
808,pause_circle_outline
809,library_add
810,call_missed_outgoing
811,chevron_right
812,list
813,forward_30
